phase,phase_title,type,linked_to_phase2,category,item,linked_item
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"ポンプが起動しない、またはトリップする",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"吐出圧力が低い、高い、または変動する",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"流量が出ない、少ない、または変動する",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"ポンプ本体やモーター部から異音（金属音、擦れ音）や異常な振動が発生する",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"モーター部の温度が異常に高い、または焦げ臭い匂いがする",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"電流値が高い（過電流）、または低い",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"ポンプケーシングや配管フランジ部から液漏れが発生している",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"TRGメーター（摩耗検知器）の警報が出ている",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,その他,
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,緊急停止措置,"直ちにポンプの「停止ボタン」を押し、操作盤の電源を「OFF」にする",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,緊急停止措置,"メンテナンス時は、必ず電源盤の主幹ブレーカーを「OFF」にし、「操作禁止/作業中」の札を掲示する（ロックアウト/タグアウト）",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,緊急停止措置,"ポンプ前後のバルブを閉止し、必要に応じて系内の圧力を抜く。高温・危険流体の場合は保護具を着用する",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,緊急停止措置,"責任者およびメンテナンス部門に、発生状況、エラー内容、計器指示値等を正確に報告する",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,運転状態確認,"操作パネルにエラー（過負荷、欠相など）が表示されている",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,運転状態確認,"ポンプから異音や異常振動が発生している",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,計器確認,"吐出圧力計の指示値が規定値より低い、または変動する",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,計器確認,"電流計の指示値が定格値より著しく高い",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,外観・周辺確認,"ポンプ本体や配管フランジ部から液漏れがある",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,外観・周辺確認,"吸込側/吐出側のバルブ開度が不適切（閉まっている、開きが少ない等）",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,外観・周辺確認,"吸込側ストレーナーの差圧計指示値が高い、または詰まりを示している",
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,FALSE,外観・周辺確認,"ポンプ内にガスが溜まっているような音がする（エア噛み）",
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,運転状態確認,"表示されたエラーコードを記録し、メンテナンス部門に報告する","操作パネルにエラー（過負荷、欠相など）が表示されている"
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,運転状態確認,"直ちにポンプを停止し、メンテナンス部門に点検を依頼する","ポンプから異音や異常振動が発生している"
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,計器確認,"ポンプを停止し、原因調査をメンテナンス部門に依頼する","吐出圧力計の指示値が規定値より低い、または変動する"
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,計器確認,"直ちにポンプを停止し、締切運転や液性変化の可能性を調査する","電流計の指示値が定格値より著しく高い"
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,外観・周辺確認,"ポンプを停止し、バルブを閉止後、メンテナンス部門に増し締めやガスケット交換を依頼する","ポンプ本体や配管フランジ部から液漏れがある"
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,外観・周辺確認,"バルブ開度を規定の位置まで正しく開ける","吸込側/吐出側のバルブ開度が不適切（閉まっている、開きが少ない等）"
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,外観・周辺確認,"メンテナンス部門にストレーナーの清掃を依頼する","吸込側ストレーナーの差圧計指示値が高い、または詰まりを示している"
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,TRUE,外観・周辺確認,"ポンプ上部のエア抜き弁から、内部のエアを完全に抜く","ポンプ内にガスが溜まっているような音がする（エア噛み）"
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,ポンプ本体,"TRGメーター（摩耗検知器）の指示値が警報値に達している",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,ポンプ本体,"分解点検でインペラに異物の詰まりや摩耗、損傷が見られる",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,ポンプ本体,"分解点検で軸受（スリーブベアリング）やスラストワッシャーに摩耗や傷、焼き付きが見られる",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,電気・計装系統,"メガテスターでモーターの絶縁抵抗を測定すると低い",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,電気・計装系統,"クランプメーターで三相の電流値を測定すると不平衡、または欠相している",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,電気・計装系統,"端子箱の電源電圧を測定すると異常（高い、低い）、または三相不平衡である",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,配管・システム系統,"ポンプ内に呼び水（プライミング）がされておらず、ドライ状態で起動しようとしている",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,配管・システム系統,"吸込配管の条件が悪く、キャビテーションが発生している兆候がある",
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,FALSE,配管・システム系統,"締切運転（吐出側バルブ全閉での運転）が長時間続いている",
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,ポンプ本体,"摩耗した軸受（スリーブベアリング）および関連部品を交換する","TRGメーター（摩耗検知器）の指示値が警報値に達している"
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,ポンプ本体,"ポンプを分解し、インペラの異物を除去、または損傷したインペラを交換する","分解点検でインペラに異物の詰まりや摩耗、損傷が見られる"
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,ポンプ本体,"摩耗・損傷した軸受（スリーブベアリング）、スラストワッシャー等の内部品を交換する","分解点検で軸受（スリーブベアリング）やスラストワッシャーに摩耗や傷、焼き付きが見られる"
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,電気・計装系統,"モーター巻線を乾燥させる。改善しない場合は巻替えまたはモーター交換を行う","メガテスターでモーターの絶縁抵抗を測定すると低い"
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,電気・計装系統,"電源側のヒューズ、配線、接触器等を確認し、不良箇所を修理する","クランプメーターで三相の電流値を測定すると不平衡、または欠相している"
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,電気・計装系統,"電源トランスのタップ調整や、電源系統全体の見直しを行う","端子箱の電源電圧を測定すると異常（高い、低い）、または三相不平衡である"
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,配管・システム系統,"ポンプケーシングおよび吸込配管を液で満たし、完全にエア抜きを行う","ポンプ内に呼び水（プライミング）がされておらず、ドライ状態で起動しようとしている"
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,配管・システム系統,"吸込配管のレイアウト見直しや、吸込液面の確保（NPSHaの改善）を検討・実施する","吸込配管の条件が悪く、キャビテーションが発生している兆候がある"
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,TRUE,配管・システム系統,"吐出側バルブを開け、適切な流量を確保する。必要に応じてバイパスラインの設置を検討する","締切運転（吐出側バルブ全閉での運転）が長時間続いている"
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,復旧確認,"交換した部品や使用した工具類が、機械内部や周辺に残置されていないか最終確認する",
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,復旧確認,"調整・交換した箇所のボルトやネジが、確実に締め付けられているか確認する",
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,システム復旧,"ポンプ前後のバルブを開け、ポンプおよび配管内を完全に液で満たす（呼び水・プライミング）",
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,システム復旧,"ポンプ上部のエア抜き弁から、内部のエアを完全に抜く",
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,安全確認,"全ての安全カバーや機器が、正しく取り付けられているか確認する",
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,安全確認,"周囲に他の作業者がいないことを確認し、再起動することを声に出して明確に周知する",
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,電源投入,"主電源ブレーカーおよび操作パネルの電源を「ON」にする",
6,"Phase 4: 再起動前準備",checklist_with_status,FALSE,状態記録,"対応内容（交換部品、調整箇所、調整値など）を設備台帳や作業日報に記録する",
7,"Phase 5: 試運転・正規運転",checklist_with_status,FALSE,寸動・回転方向確認,"ポンプを瞬時起動（寸動）させ、モーターの回転方向がケーシングの矢印と一致しているか確認する",
7,"Phase 5: 試運転・正規運転",checklist_with_status,FALSE,試運転（低流量）,"吐出側バルブを少し開けた状態でポンプを起動し、異音や異常振動がないか確認する",
7,"Phase 5: 試運転・正規運転",checklist_with_status,FALSE,段階的な負荷上昇,"徐々に吐出側バルブを開け、流量を増やしていく。各段階で圧力、流量、電流値が安定しているか監視する",
7,"Phase 5: 試運転・正規運転",checklist_with_status,FALSE,性能確認,"正規の運転ポイントで、吐出圧力、流量、電流値が定格値の範囲内であることを確認する",
7,"Phase 5: 試運転・正規運転",checklist_with_status,FALSE,安定性確認,"正規運転状態で、ポンプ本体の振動、モーター部の温度が異常上昇しないか、継続的に監視する（例：15分程度）",
7,"Phase 5: 試運転・正規運転",checklist_with_status,FALSE,記録,"安定運転が確認された後、各計器の指示値を記録する",